year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1933;4;7.0;;Italy;Air Orient;Corfu - Naples;Cams 53-1;8.0;5.0;3.0;5.0;2.0;3.0;0.0
1933;4;;;Germany;Eurasia;;Junkers W-34;4.0;2.0;2.0;4.0;2.0;2.0;0.0
1933;5;15.0;;Spain;Aeropostale - La Tecoere Company;Paris - Morroco;Latecoere 28-1;6.0;3.0;3.0;6.0;3.0;3.0;0.0
1933;6;3.0;Virginia;United States;Eastern Air Transport;;Pitcairns PA-6;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1933;6;17.0;Illinois;United States;Palwaukee;Sightseeing;Sikorsky S-38B (flying boat);9.0;7.0;2.0;9.0;7.0;2.0;0.0
1933;7;15.0;;;Societa Anonima Aero Expresso Italiana;Athens - Rhodes;CMASA Wal (flying boat);6.0;2.0;4.0;6.0;2.0;4.0;0.0
1933;8;1.0;New Mexico;United States;Trans Continental and Western Air;Amarillo, TX - Albuquerque, NM;Ford 5-AT-B Tri Motor;5.0;3.0;2.0;5.0;3.0;2.0;0.0
1933;9;;;;Aeroput;Ljubjana - Susak, Croatia;Farman F-306;8.0;6.0;2.0;8.0;6.0;2.0;0.0
1933;10;21.0;Indiana;United States;United Air Lines;Newark - Cleveland - Chicago - Oakland;Boeing 247;10.0;7.0;3.0;10.0;7.0;3.0;0.0
1933;10;11.0;;France;Air France;Zurich - Basel - Paris;Farman F-301;5.0;2.0;3.0;2.0;1.0;1.0;0.0
1933;11;22.0;Oregon;United States;United Air Lines;Seattle, WA - Dallas, TX;Boeing 247;10.0;7.0;3.0;4.0;3.0;1.0;
1933;11;;New Mexico;United States;Trans Continental and Western Air;;Northrop Delta;1.0;0.0;1.0;0.0;0.0;0.0;0.0
1933;11;;;China;China National Aviation Corporation;Canton - Shanghai;Stinson;8.0;7.0;1.0;8.0;7.0;1.0;
1933;11;15.0;;Ukraine;Kalinin;Test flight;Kalinin K-7;20.0;0.0;20.0;14.0;0.0;14.0;0.0
1933;11;;Illinois;United States;National Air Transport;;Boeing 247;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1933;12;16.0;;Germany;Deutsche Lufthansa;Berlin - Hamburg;Focke-Wulf A-17;10.0;8.0;2.0;6.0;4.0;2.0;0.0
1933;12;;;South Africa;Union Airways;;Junkers W-34;6.0;4.0;2.0;5.0;3.0;2.0;0.0
1933;12;;;Belgium;Imperial Airways;Brussels, Belgium - Croydon, England;Avro 10;10.0;8.0;2.0;10.0;8.0;2.0;0.0
1934;1;18.0;;France;Air France;Saigon - Paris;Dewoitine D-332;14.0;10.0;4.0;14.0;10.0;4.0;0.0
